,Message,Tweet Favorite Count,Retweet Count,Created At,Username,Likes,User Description,Following,Followers
0,RT @SuperDuperlnvts: $CLVR &lt;$13 = SCREAMING BUY for me for both NT &amp; LT. It would be boon under Biden admin given Legalization of green her…,0,1,2022-02-27 20:40:27+00:00,Gambiste1,8461,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. retweets are not endorsment. Find hot stocks with @GambisteFinance.",0,15658
1,$CLVR &lt;$13 = SCREAMING BUY for me for both NT &amp; LT. It would be boon under Biden admin given Legalization of green… https://t.co/gFveH3IteB,0,1,2022-02-27 20:05:58+00:00,SuperDuperlnvts,4,"25+ yrs Investing / Trading #Stocks #Investor #DayTrader #SwingTrader on #WallStreet #NYSE #Nasdaq Tweets/DM =Opinions/Entertainment only, Not advice. #SupDup",51,20978
2,"#Cannabis 550 nutrients we can not eat
#Abortion is #Healthcare we do not have Access
We did get International Chil… https://t.co/uOIaxRNtj6",0,0,2022-02-27 19:37:43+00:00,MimiTexasAngel,364134,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
3,#cannabiscommunity #marijuana #cannabis Sen. Schumer plans to pass legislation that decriminalizes marijuana on a f… https://t.co/J1TkUpR8it,2,0,2022-02-27 17:33:01+00:00,MMPconnection,4560,Join Our #medicalmarijuana community read Breaking Cannabis & Business news informative articles on #CBD #THC All things #marijuana https://t.co/HzfybLd58O,13165,23413
4,"RT @MMPconnect: #cannabiscommunity #marijuana #cannabis It’s time for Biden to keep his promises on marijuana | News, Sports, Jobs 

contri…",0,1,2022-02-27 14:24:13+00:00,worldcannanews1,480,"Articles, Events, Business ,Pics EVERYTHING #cannabis",186,1529
5,"#cannabiscommunity #marijuana #cannabis It’s time for Biden to keep his promises on marijuana | News, Sports, Jobs… https://t.co/wSoBWjNWZf",0,1,2022-02-27 14:23:00+00:00,MMPconnect,4097,"Breaking #Cannabis #News. Strain Reviews, medical #marijuana related content from our community, informative articles on #Strains #THC & #CBD",6983,17304
6,"&amp;these aren't belligerent,ethnic cleansing nations,they are liberal nations slandering victims as prostitutes who s… https://t.co/TahgVLLvc5",1,0,2022-02-27 14:07:10+00:00,GrainneOReilly9,25231,"#diagnosticsscandal
#CriminalizePaedophilia #PhoenixLaw #stalkinglawNI #InArGcroitheGoDeo 
Rape&voyeurism survivor(RA/OP/BC)Born BombaySt,FallsRd,BT,NI
QUBLaw97",4998,1189
7,"RT @MMPconnection: #cannabiscommunity #marijuana #cannabis It’s time for Biden to keep his promises on marijuana | News, Sports, Jobs 

con…",0,2,2022-02-27 04:23:46+00:00,worldcannanews1,480,"Articles, Events, Business ,Pics EVERYTHING #cannabis",186,1529
8,"#cannabiscommunity #marijuana #cannabis It’s time for Biden to keep his promises on marijuana | News, Sports, Jobs… https://t.co/UlN0O5lRLb",3,2,2022-02-27 03:33:01+00:00,MMPconnection,4560,Join Our #medicalmarijuana community read Breaking Cannabis & Business news informative articles on #CBD #THC All things #marijuana https://t.co/HzfybLd58O,13165,23413
9,Biden administration focuses on Big Beer as North Coast craft breweries compete for their share of t... https://t.co/m4wkKqouEn #cannabis,0,0,2022-02-27 02:37:30+00:00,CannabisBizNews,1617,"The web's ONLY, real-time, automatic, breaking Cannabis news feed. Investing, funding, politics, legal, business, recreational, medical & everything else.",7617,29755
10,RT @MMJHealthcare: Video : Weekend Update: President Biden Works to Prevent Russia/Ukraine War - SNL 📹 - https://t.co/ze58J41iUF #cannabis…,0,2,2022-02-26 23:16:33+00:00,Kennedy74592523,3,#Resist,18,0
11,"RT @rikki_5: Biden says we, the American people, are psychologically damaged.  #CancelStudentDebt &amp; #LegalizeIt and expunge all non-violent…",0,1,2022-02-26 18:08:06+00:00,galactic_ditto,669,"Welcome to Galactic Ditto! I'm a Ditto Bot @galactic_budz is my operator.

Here you'll find Stickerz, Photography, Clothing, and Gardening Supplies!",4,419
12,"Biden says we, the American people, are psychologically damaged.  #CancelStudentDebt &amp; #LegalizeIt and expunge all… https://t.co/RTDoE07qcu",0,1,2022-02-26 18:05:42+00:00,rikki_5,431,"Fall Seven Times, Stand Up Eight - Japanese Proverb #Gematria",4757,3091
13,"Nixon/Kissinger ~ Biden/Blinken
@StateDept @ENERGY @WhiteHouse blocking Civil Rights since we assassinated #JFK… https://t.co/8BbtJq642Z",0,0,2022-02-26 17:56:47+00:00,MimiTexasAngel,364134,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
14,"#Cannabis our food is still in prohibition 
Abortion is #Healthcare #DemocratsDeliver Health Insurance Subsidy 
$27… https://t.co/9fwmaml6hw",0,0,2022-02-26 17:31:44+00:00,MimiTexasAngel,364134,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
15,"RT @MimiTexasAngel: Politics · Trending
#PutinHitler
6,995 Tweets 

#TrumpHitler 
#Biden is #JimCrow 
#Cannabis food we can not eat is ""Tre…",0,1,2022-02-26 14:37:09+00:00,WadeTurnbull,149118,"🌹🐈🌎 Married

As a politically left immigrant, I suggest you vote 3rd party.",902,5333
16,"Politics · Trending
#PutinHitler
6,995 Tweets 

#TrumpHitler 
#Biden is #JimCrow 
#Cannabis food we can not eat is… https://t.co/KtKDcDr4Ql",1,1,2022-02-26 14:36:30+00:00,MimiTexasAngel,364134,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
17,"#awakening  @Potus #Potus 
Oh Biden supports it but should smoke it  .. #cannabisculture https://t.co/HBwDdQ7ON9",0,0,2022-02-26 09:51:52+00:00,metaphorensics,138,"Never settle for anything that isnt love. 
Makes life tough in a reversed flow state of...
Donate to my cause Humanity $kbgrower",94,29
18,"Biden hits Russia with sanctions, shifts troops to Germany https://t.co/9Q9Al5dsQr #cannabiscommunity,… https://t.co/X5F47wrZJg",0,0,2022-02-26 07:00:04+00:00,MMJHealthcare,1335,"We are the nation’s first Cannabis Health Insurance, plans are guaranteed issue.  Many cases you can get your employer to pay.  $NDEV #CannabisHealthPlan",5479,8341
19,"Biden, Europe waiting on key SWIFT sanction against Russia https://t.co/Y0gY8MkCp9 #cannabiscommunity,… https://t.co/7m4zTIG2Jm",0,0,2022-02-26 06:00:06+00:00,Novus_Stock,524,Guaranteed Issue Health Plans that includes cannabis. $NDEV #CannabisHealthPlan,7714,7496
20,"Biden, Europe waiting on key SWIFT sanction against Russia https://t.co/uOQaWMIXOC #cannabiscommunity,… https://t.co/nSlDUqTYby",0,0,2022-02-26 06:00:05+00:00,dbell_novus,249,"Health Plan that includes cannabis meds. Compliant with HSA, Group and HRA and everyone accepted. $NDEV #CannabisHealthPlan",1327,970
21,👏 👏 👏 Today was a great day for the #legal industry and our #government! ⚖️ CONGRATS Judge Ketanji Brown Jackson.… https://t.co/vRW94SHkOh,0,0,2022-02-26 04:49:51+00:00,visuals4u,15173,Website manager | event manager | public speaker | foodie | #womenintech #DiversityinTech,1292,1652
22,The Biden Administration Suffers a Crushing Defeat in Electric Vehicles - TheStreet https://t.co/Ad2fiv7SYj #cannabis,2,0,2022-02-26 04:12:28+00:00,CannabisBizNews,1617,"The web's ONLY, real-time, automatic, breaking Cannabis news feed. Investing, funding, politics, legal, business, recreational, medical & everything else.",7617,29755
23,"Biden hits Russia with sanctions, shifts troops to Germany https://t.co/gHqORM2FiM #cannabiscommunity,… https://t.co/zeZHyq35ZZ",0,0,2022-02-26 03:00:12+00:00,Novus_Stock,524,Guaranteed Issue Health Plans that includes cannabis. $NDEV #CannabisHealthPlan,7714,7496
24,"Biden, Europe waiting on key SWIFT sanction against Russia https://t.co/LCVRXqCPB6 #cannabiscommunity,… https://t.co/MOYbqRb2zs",0,0,2022-02-26 02:00:04+00:00,MMJHealthcare,1335,"We are the nation’s first Cannabis Health Insurance, plans are guaranteed issue.  Many cases you can get your employer to pay.  $NDEV #CannabisHealthPlan",5479,8341
25,"Biden hits Russia with sanctions, shifts troops to Germany https://t.co/0lizwe5A8F #cannabiscommunity,… https://t.co/njkhXrZ09g",0,0,2022-02-26 02:00:03+00:00,dbell_novus,249,"Health Plan that includes cannabis meds. Compliant with HSA, Group and HRA and everyone accepted. $NDEV #CannabisHealthPlan",1327,970
26,"RT @GriffKohout: @POTUS @JoeBiden Legalize Cannabis Marijuana Ganja in all 50 states, Corporate Joe Biden!

#we are #eARTh &amp; we demand #leg…",0,2,2022-02-25 20:57:35+00:00,GriffKohout,59091,"Smokey was a conscientious objector🌎 #GreenCloudArtOrg 
 https://t.co/lQX6d1ikvF 🏀 #FocusUP⬆️ #LevelUP📽#Soliclarity! #BeOfSaintlyService ☸️ Give 💉Blood #ZEN",5001,1301
27,Where does Biden's Supreme Court nominee stand on marijuana legalization? Here's what we found… https://t.co/1nVuHoQeNj,0,0,2022-02-25 20:44:04+00:00,NewsBudz,4372,Highlighting the days top trending Cannabis and Hemp news - Free iOS App - Free all the plants 🌱🌵🍄🍀🌲 ➡️ https://t.co/Js0IkVyGSk,4886,4427
28,"#GodBless @SenSanders @jeremycorbyn 
Many grieve 2016 #MAGA #Brexit Propaganda for International Oligarchs Coup ~… https://t.co/FZ5ebH3pSv",0,0,2022-02-25 20:23:45+00:00,MimiTexasAngel,364134,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
29,"RT @GriffKohout: @POTUS @JoeBiden Legalize Cannabis Marijuana Ganja in all 50 states, Corporate Joe Biden!

#we are #eARTh &amp; we demand #leg…",0,2,2022-02-25 19:55:03+00:00,FFFBot1,14430,I retweet the tweets with #FridaysForFuture | Created by @amity_ak97,0,410
30,"@POTUS @JoeBiden Legalize Cannabis Marijuana Ganja in all 50 states, Corporate Joe Biden!

#we are #eARTh &amp; we dema… https://t.co/aLIfw9Aikp",1,2,2022-02-25 19:54:59+00:00,GriffKohout,59091,"Smokey was a conscientious objector🌎 #GreenCloudArtOrg 
 https://t.co/lQX6d1ikvF 🏀 #FocusUP⬆️ #LevelUP📽#Soliclarity! #BeOfSaintlyService ☸️ Give 💉Blood #ZEN",5001,1301
31,"Regime Change happens #Ukraine 2014 
Nixon/Kissinger ~ Biden/Bilken
No fundamental change for Americans since 1960… https://t.co/AB88gwBZ03",0,0,2022-02-25 19:22:35+00:00,MimiTexasAngel,364134,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
32,RT @Sequoiaorganics: Where does Biden’s Supreme Court nominee stand on marijuana legalization? Here’s what we found https://t.co/SPEknWZRwi…,0,1,2022-02-25 18:32:24+00:00,researchmrx,895,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",217,8180
33,Where does Biden’s Supreme Court nominee stand on marijuana legalization? Here’s what we found… https://t.co/eT3FJwRGWx,0,1,2022-02-25 17:49:41+00:00,Sequoiaorganics,1452,"We offer a variety of Premium Phytocannabinoid-Rich Hemp Oil products, all made with organic ingredients sourced and grown in the U.S🌱 Use Offer Code: TWITTER",884,301
